index,title,date,stock
569666,'Alphabet CEO in internal memo: Offices reopening at 10% to 15% capacity starting in June' -CNBC,2020-05-08 15:17:00-04:00,GOOGL
569667,Zoom Video Shares  Fall To Session Low On Volume Spike As Hearing 'Google Duo will soon let you make group calls in Chrome',2020-05-08 14:15:00-04:00,GOOGL
569668,Hearing Majority Of Alphabet Staff To Work From Home Til 2021,2020-05-08 11:59:00-04:00,GOOGL
569669,"Along With Dramatic Jobs Data, Investors Scrutinize Recent Earnings From Uber, Square",2020-05-08 10:23:00-04:00,GOOGL
569670,Google Employees To Work From Home Through 2020 With Few Exceptions,2020-05-08 07:20:00-04:00,GOOGL
569671,"UPDATE: Lime Says Alphabet, Bain Capital Will Also Be In Investment Round With Uber",2020-05-07 08:53:00-04:00,GOOGL
569672,ViacomCBS And Google Announce Expanded Distribution Agreement,2020-05-07 07:44:00-04:00,GOOGL
569673,"ViacomCBS, Google Report Expanded Distribution Deal: 'Introduces 14 Additional ViacomCBS Cable Networks to YouTube TV, Including BET, Comedy Central, MTV and Nickelodeon'",2020-05-07 07:22:00-04:00,GOOGL
569674,A Recap Of Social Media Earnings,2020-05-06 10:19:00-04:00,GOOGL
569675,11 Reasons Billionaire Investor Leon Cooperman Is Worried About Long-Term Impacts Of COVID-19,2020-05-06 09:01:00-04:00,GOOGL
569676,Business Insider Reports Google-Fitbit Deal Under 'Intense Scrutiny',2020-05-05 15:50:00-04:00,GOOGL
569677,"Charles Schwab Launches Fractional Shares, The Ability To Gift Stock",2020-05-05 15:35:00-04:00,GOOGL
569678,'A new edition of the P30 could let Huawei offer Google apps again' -SCMP,2020-05-05 12:05:00-04:00,GOOGL
569679,"Google Cloud, Splunk Report Strategic Partnership to Help Organizations Drive Insights From Data; Splunk Cloud Will Soon Be Available On Google Cloud",2020-05-05 09:01:00-04:00,GOOGL
569680,3 ETFs For Disney Earnings,2020-05-05 08:18:00-04:00,GOOGL
569681,Apple And Google Say No To Location Tracking In Coronavirus Contact Tracing Apps,2020-05-04 22:30:00-04:00,GOOGL
569682,YouTube Signs Gamer PewDiePie To Exclusive Streaming Deal,2020-05-04 21:50:00-04:00,GOOGL
569683,YouTube Signs Gamer PewDiePie to Live Streaming Deal,2020-05-04 14:55:00-04:00,GOOGL
569684,'Google Engineers Flirted With a Zoom Acquisition—Before a Push to Beat It' -UK's The Information,2020-05-04 10:04:00-04:00,GOOGL
569685,Here's What Warren Buffett Thinks About Tesla And Elon Musk,2020-05-02 15:55:00-04:00,GOOGL
569686,"Warren Buffett Says There's No Bubble In FANG Stocks, But He's Still Not Buying",2020-05-02 09:00:00-04:00,GOOGL
569687,"Amazon, Exxon Mobil Earnings Weigh On Market To Start New Month As Caution Steers The Wheel",2020-05-01 17:12:00-04:00,GOOGL
569688,"Zoom Corrects Blog Saying It Had 300M Daily Active Users, Admits It Was Wrong",2020-05-01 05:27:00-04:00,GOOGL
569689,Apple CEO Tim Cook: Apple To Work With Google To Improve COVID-19 Contact Tracing,2020-04-30 17:08:00-04:00,GOOGL
569690,Thursday's Market Minute: Stocks Rally As GDP Plummets,2020-04-30 09:33:00-04:00,GOOGL
569691,108 Biggest Movers From Yesterday,2020-04-30 05:30:00-04:00,GOOGL
569692,Analysts Applaud Alphabet Earnings: 'An Incredible Advertising Business',2020-04-29 12:56:00-04:00,GOOGL
569693,82 Stocks Moving In Wednesday's Mid-Day Session,2020-04-29 12:50:00-04:00,GOOGL
569694,"SunTrust Robinson Humphrey Maintains Buy on Alphabet, Raises Price Target to $1550",2020-04-29 12:28:00-04:00,GOOGL
569695,"B of A Securities Maintains Buy on Alphabet, Raises Price Target to $1420",2020-04-29 12:22:00-04:00,GOOGL
